交通量推定不能区間,都道府県,道路種別,沿道状況,延長（ｋｍ）,１２時間平均交通量（台／１２ｈ）／小型車,１２時間平均交通量（台／１２ｈ）／大型車,１２時間平均交通量（台／１２ｈ）／合計,１２時間走行台キロ（千台キロ）／小型車,１２時間走行台キロ（千台キロ）／大型車,１２時間走行台キロ（千台キロ）／合計,２４時間平均交通量（台／日）／小型車,２４時間平均交通量（台／日）／大型車,２４時間平均交通量（台／日）／合計,２４時間走行台キロ（千台キロ）／小型車,２４時間走行台キロ（千台キロ）／大型車,２４時間走行台キロ（千台キロ）／合計,昼夜率,１２時間ピーク比率（％）,１２時間大型車混入率（％）,混雑度
,,,合計,95.9,36864,9616,46479,3535,922,4457,47033,14381,61413,4510,1379,5890,1.32,9.9,20.7,0.76
,,一般国道（直轄）,DID(商業地域),44.3,21296,4180,25476,943,185,1129,30561,5513,36073,1354,244,1598,1.42,9.3,16.4,0.98
,,,DID(商業地域を除く),4.8,21412,6385,27797,103,31,133,29937,8164,38101,144,39,183,1.37,9.6,23,1.29
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,49.1,21307,4396,25703,1046,216,1262,30500,5772,36271,1498,283,1781,1.41,9.4,17.1,1.01
,,一般国道（その他）,DID(商業地域),64.8,21382,2329,23711,1386,151,1536,28157,3900,32056,1825,253,2077,1.35,9.5,9.8,0.89
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,64.8,21382,2329,23711,1386,151,1536,28157,3900,32056,1825,253,2077,1.35,9.5,9.8,0.89
,,一般国道計,DID(商業地域),109.1,21347,3081,24428,2329,336,2665,29133,4555,33687,3178,497,3675,1.38,9.4,12.6,0.93
,,,DID(商業地域を除く),4.8,21412,6385,27797,103,31,133,29937,8164,38101,144,39,183,1.37,9.6,23,1.29
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,113.9,21350,3220,24570,2432,367,2798,29167,4707,33873,3322,536,3858,1.38,9.4,13.1,0.94
,,主要地方道（都道府県道）,DID(商業地域),93.6,16703,2797,19500,1563,262,1825,22362,4068,26430,2093,381,2474,1.36,9.3,14.3,0.88
,,,DID(商業地域を除く),18.2,13493,3960,17453,246,72,318,18184,5199,23383,331,95,426,1.34,9.5,22.7,1.13
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
