交通量推定不能区間,都道府県,道路種別,沿道状況,延長（ｋｍ）,１２時間平均交通量（台／１２ｈ）／小型車,１２時間平均交通量（台／１２ｈ）／大型車,１２時間平均交通量（台／１２ｈ）／合計,１２時間走行台キロ（千台キロ）／小型車,１２時間走行台キロ（千台キロ）／大型車,１２時間走行台キロ（千台キロ）／合計,２４時間平均交通量（台／日）／小型車,２４時間平均交通量（台／日）／大型車,２４時間平均交通量（台／日）／合計,２４時間走行台キロ（千台キロ）／小型車,２４時間走行台キロ（千台キロ）／大型車,２４時間走行台キロ（千台キロ）／合計,昼夜率,１２時間ピーク比率（％）,１２時間大型車混入率（％）,混雑度
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,15.6,20309,5441,25750,317,85,402,24343,10315,34657,380,161,541,1.35,11.4,21.1,0.53
,,,平地部,98.9,12319,4101,16420,1218,406,1624,14743,8170,22913,1458,808,2266,1.4,11.1,25,0.44
,,,山地部,217.7,11099,4769,15868,2416,1038,3454,13416,10521,23937,2921,2290,5211,1.51,10.1,30.1,0.46
,,,合計,332.2,11895,4602,16496,3951,1529,5480,14324,9811,24136,4759,3259,8018,1.46,10.5,27.9,0.46
,,一般国道（直轄）,DID(商業地域),4.5,17186,1080,18265,77,5,82,22176,1317,23494,100,6,106,1.29,9.2,5.9,0.81
,,,DID(商業地域を除く),68.5,11875,1540,13415,813,106,919,15384,2443,17828,1054,167,1221,1.33,10.1,11.5,1.11
,,,その他市街部,28.6,10072,1313,11386,288,38,326,12408,1828,14236,355,52,407,1.25,9.8,11.5,1.1
,,,平地部,110.4,9531,1625,11156,1052,179,1232,12362,2456,14818,1365,271,1636,1.33,10,14.6,0.84
,,,山地部,222.3,4553,1311,5864,1012,291,1304,5499,2207,7706,1222,491,1713,1.31,10.7,22.4,0.83
,,,合計,434.3,7468,1425,8892,3243,619,3862,9431,2273,11704,4096,987,5083,1.32,10.2,16,0.91
,,一般国道（その他）,DID(商業地域),56.2,10632,598,11229,598,34,631,13392,1300,14692,753,73,826,1.31,10.2,5.3,0.88
,,,DID(商業地域を除く),25.3,7549,428,7977,191,11,202,9503,894,10397,240,23,263,1.3,9.8,5.4,0.67
,,,その他市街部,231.3,8274,718,8992,1914,166,2080,10321,1158,11479,2387,268,2655,1.28,10.8,8,0.79
,,,平地部,340,5088,755,5843,1730,257,1987,6341,1064,7405,2156,362,2518,1.27,10.8,12.9,0.63
,,,山地部,609.6,2284,391,2675,1393,238,1631,2796,538,3333,1704,328,2032,1.25,11.4,14.6,0.45
,,,合計,1262.4,4614,559,5173,5825,706,6530,5736,834,6570,7241,1053,8293,1.27,10.8,10.8,0.63
,,一般国道計,DID(商業地域),60.7,11118,633,11751,675,38,713,14043,1301,15345,852,79,931,1.31,10.1,5.4,0.87
,,,DID(商業地域を除く),93.8,10708,1240,11948,1004,116,1121,13798,2025,15823,1294,190,1484,1.32,10.1,10.4,0.99
,,,その他市街部,259.9,8472,783,9256,2202,204,2406,10551,1231,11782,2742,320,3062,1.27,10.6,8.5,0.82
,,,平地部,450.4,6177,969,7145,2782,436,3218,7817,1405,9222,3521,633,4153,1.29,10.5,13.6,0.7
,,,山地部,831.9,2891,637,3527,2405,530,2935,3518,984,4502,2927,818,3745,1.28,11.1,18.1,0.57
,,,合計,1696.7,5345,781,6125,9068,1324,10392,6681,1202,7884,11336,2040,13376,1.29,10.6,12.7,0.71
,,主要地方道（都道府県道）,DID(商業地域),71.9,8267,455,8722,594,33,627,10471,1060,11531,753,76,829,1.32,11.1,5.2,0.77
,,,DID(商業地域を除く),60.8,7274,433,7707,442,26,469,9152,922,10074,556,56,612,1.31,11.1,5.6,1.02
,,,その他市街部,233.2,4613,347,4960,1076,81,1157,5758,649,6407,1343,151,1494,1.29,11.3,7,0.67
,,,平地部,499.3,4591,442,5033,2292,221,2513,5713,714,6427,2853,357,3209,1.28,12.3,8.8,0.6
,,,山地部,713.4,1192,127,1319,850,90,941,1437,177,1614,1025,126,1152,1.22,12.1,9.6,0.23
,,,合計,1578.6,3329,286,3615,5255,451,5706,4137,486,4622,6530,767,7297,1.28,11.8,7.9,0.51
,,主要地方道（指定市道）,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,主要地方道計,DID(商業地域),71.9,8267,455,8722,594,33,627,10471,1060,11531,753,76,829,1.32,11.1,5.2,0.77
,,,DID(商業地域を除く),60.8,7274,433,7707,442,26,469,9152,922,10074,556,56,612,1.31,11.1,5.6,1.02
,,,その他市街部,233.2,4613,347,4960,1076,81,1157,5758,649,6407,1343,151,1494,1.29,11.3,7,0.67
,,,平地部,499.3,4591,442,5033,2292,221,2513,5713,714,6427,2853,357,3209,1.28,12.3,8.8,0.6
,,,山地部,713.4,1192,127,1319,850,90,941,1437,177,1614,1025,126,1152,1.22,12.1,9.6,0.23
,,,合計,1578.6,3329,286,3615,5255,451,5706,4137,486,4622,6530,767,7297,1.28,11.8,7.9,0.51
,,一般都道府県道,DID(商業地域),39.1,5775,353,6128,226,14,240,7225,699,7924,282,27,310,1.29,10.4,5.8,0.71
,,,DID(商業地域を除く),61.9,6609,398,7007,409,25,434,8310,743,9053,514,46,560,1.29,10.3,5.7,0.72
,,,その他市街部,301.1,3184,208,3392,959,63,1021,3912,365,4277,1178,110,1288,1.26,11.8,6.1,0.5
,,,平地部,742.7,3191,244,3435,2370,181,2551,3939,406,4345,2926,301,3227,1.26,12,7.1,0.5
,,,山地部,1150.7,711,64,775,818,73,891,855,95,950,984,109,1093,1.23,13,8.2,0.2
,,,合計,2295.5,2083,155,2238,4782,355,5137,2563,259,2822,5884,594,6478,1.26,11.9,6.9,0.41
,,地方道計,DID(商業地域),111,7389,419,7808,820,46,867,9327,933,10260,1035,104,1139,1.31,10.9,5.4,0.75
,,,DID(商業地域を除く),122.7,6938,415,7354,851,51,902,8727,832,9559,1071,102,1173,1.3,10.7,5.6,0.85
,,,その他市街部,534.3,3808,269,4076,2034,144,2178,4718,489,5207,2521,261,2782,1.28,11.5,6.6,0.58
,,,平地部,1242,3754,324,4077,4662,402,5064,4652,530,5182,5778,658,6436,1.27,12.1,7.9,0.54
,,,山地部,1864.1,895,88,983,1669,164,1832,1078,126,1204,2009,235,2245,1.23,12.5,8.9,0.22
,,,合計,3874.1,2591,208,2799,10037,806,10843,3204,351,3556,12414,1360,13775,1.27,11.9,7.4,0.46
,,一般道路計,DID(商業地域),171.7,8707,495,9202,1495,85,1580,10994,1063,12058,1888,183,2070,1.31,10.5,5.4,0.8
,,,DID(商業地域を除く),216.5,8572,773,9344,1856,167,2023,10924,1349,12273,2365,292,2657,1.31,10.3,8.3,0.92
,,,その他市街部,794.2,5334,437,5771,4236,347,4584,6627,732,7359,5263,581,5844,1.28,11.1,7.6,0.69
,,,平地部,1692.4,4399,495,4894,7444,838,8283,5494,763,6257,9299,1291,10589,1.28,11.5,10.1,0.59
,,,山地部,2696,1511,257,1768,4073,693,4767,1831,391,2222,4936,1054,5990,1.26,11.6,14.5,0.35
,,,合計,5570.8,3429,382,3812,19105,2131,21236,4263,610,4874,23751,3400,27151,1.28,11.3,10,0.55
,,合計,DID(商業地域),171.7,8707,495,9202,1495,85,1580,10994,1063,12058,1888,183,2070,1.31,10.5,5.4,0.8
,,,DID(商業地域を除く),216.5,8572,773,9344,1856,167,2023,10924,1349,12273,2365,292,2657,1.31,10.3,8.3,0.92
,,,その他市街部,809.8,5623,534,6156,4553,432,4985,6968,917,7885,5643,742,6385,1.28,11.1,8.7,0.67
,,,平地部,1791.3,4836,694,5530,8663,1244,9906,6005,1172,7177,10757,2099,12856,1.3,11.4,12.6,0.56
,,,山地部,2913.7,2227,594,2821,6490,1731,8221,2697,1148,3844,7857,3344,11201,1.36,11,21.1,0.39
,,,合計,5903,3906,620,4526,23056,3659,26716,4830,1128,5958,28509,6660,35169,1.32,11.1,13.7,0.53
,,指定市の一般市道,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,岐阜県,高速自動車国道,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,3.2,25145,13331,38476,80,43,123,32410,23551,55961,104,75,179,1.45,10.1,34.6,0.7
,,,平地部,105.8,12625,6730,19355,1336,712,2048,15591,13489,29080,1650,1427,3077,1.5,10,34.8,0.44
,,,山地部,124.7,4964,2091,7055,619,261,880,5979,3885,9864,746,485,1230,1.4,10.2,29.6,0.31
,,,合計,233.7,8709,4345,13054,2035,1015,3051,10692,8502,19195,2499,1987,4486,1.47,10.1,33.3,0.4
,,一般国道の自動車専用道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,25.4,4068,1474,5542,103,37,141,4871,2073,6944,124,53,176,1.25,10.8,26.6,0.56
,,,山地部,74,4284,1511,5795,317,112,429,5208,2188,7396,385,162,547,1.28,10.9,26.1,0.53
,,,合計,99.4,4229,1501,5730,420,149,570,5122,2158,7280,509,215,724,1.27,10.9,26.2,0.54
,,高規格幹線道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,3.2,25145,13331,38476,80,43,123,32410,23551,55961,104,75,179,1.45,10.1,34.6,0.7
,,,平地部,131.2,10968,5713,16681,1439,749,2189,13516,11278,24794,1773,1480,3253,1.49,10,34.2,0.45
,,,山地部,198.7,4711,1875,6586,936,373,1309,5692,3253,8945,1131,646,1777,1.36,10.4,28.5,0.36
,,,合計,333.1,7372,3496,10868,2456,1165,3620,9030,6609,15639,3008,2202,5209,1.44,10.2,32.2,0.42
,,都市高速道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,高速道路計,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,3.2,25145,13331,38476,80,43,123,32410,23551,55961,104,75,179,1.45,10.1,34.6,0.7
,,,平地部,131.2,10968,5713,16681,1439,749,2189,13516,11278,24794,1773,1480,3253,1.49,10,34.2,0.45
,,,山地部,198.7,4711,1875,6586,936,373,1309,5692,3253,8945,1131,646,1777,1.36,10.4,28.5,0.36
,,,合計,333.1,7372,3496,10868,2456,1165,3620,9030,6609,15639,3008,2202,5209,1.44,10.2,32.2,0.42
,,高速道路計（一般国道の自動車専用道路を除く）,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,3.2,25145,13331,38476,80,43,123,32410,23551,55961,104,75,179,1.45,10.1,34.6,0.7
,,,平地部,105.8,12625,6730,19355,1336,712,2048,15591,13489,29080,1650,1427,3077,1.5,10,34.8,0.44
,,,山地部,124.7,4964,2091,7055,619,261,880,5979,3885,9864,746,485,1230,1.4,10.2,29.6,0.31
,,,合計,233.7,8709,4345,13054,2035,1015,3051,10692,8502,19195,2499,1987,4486,1.47,10.1,33.3,0.4
,,一般国道（直轄）,DID(商業地域),33.3,20320,2850,23170,677,95,772,27141,4160,31301,904,139,1042,1.35,10.1,12.3,1.07
,,,DID(商業地域を除く),20.6,21012,2722,23734,433,56,489,27639,3895,31534,569,80,650,1.33,10.6,11.5,1.15
,,,その他市街部,71.3,13492,2230,15722,962,159,1121,17355,3267,20622,1237,233,1470,1.31,11.1,14.2,0.94
,,,平地部,105.3,11234,1924,13158,1183,203,1386,14461,2762,17223,1523,291,1814,1.31,10.9,14.6,0.8
,,,山地部,247.6,5768,1302,7070,1428,322,1750,7143,1870,9013,1769,463,2232,1.27,11.2,18.4,0.84
,,,合計,478.1,9794,1746,11540,4683,835,5517,12554,2521,15075,6002,1205,7207,1.31,10.9,15.1,0.9
,,一般国道（その他）,DID(商業地域),6.1,11831,1048,12879,72,6,79,14679,1336,16015,90,8,98,1.24,11.9,8.1,0.93
,,,DID(商業地域を除く),14.8,10677,703,11380,158,10,168,13553,1273,14826,201,19,219,1.3,10.2,6.2,0.67
,,,その他市街部,6.9,8408,815,9223,58,6,64,10554,1139,11694,73,8,81,1.27,12.2,8.8,0.89
,,,平地部,398.6,4401,570,4971,1754,227,1981,5449,843,6292,2172,336,2508,1.27,11.5,11.5,0.62
,,,山地部,656.8,2083,415,2498,1368,272,1641,2546,569,3115,1673,373,2046,1.25,11.6,16.6,0.43
,,,合計,1083.2,3149,482,3631,3411,522,3933,3884,687,4572,4208,745,4952,1.26,11.5,13.3,0.53
,,一般国道計,DID(商業地域),39.4,19006,2571,21577,749,101,850,25211,3723,28934,993,147,1140,1.34,10.3,11.9,1.05
,,,DID(商業地域を除く),35.4,16691,1878,18569,591,66,657,21750,2799,24549,770,99,869,1.32,10.5,10.1,0.97
,,,その他市街部,78.2,13043,2105,15148,1020,165,1185,16755,3079,19834,1310,241,1551,1.31,11.1,13.9,0.93
,,,平地部,503.9,5829,853,6682,2937,430,3367,7332,1244,8577,3695,627,4322,1.28,11.2,12.8,0.69
,,,山地部,904.4,3092,658,3750,2796,595,3391,3805,925,4730,3441,836,4278,1.26,11.4,17.5,0.58
,,,合計,1561.3,5184,869,6053,8093,1357,9450,6539,1249,7788,10209,1950,12159,1.29,11.1,14.4,0.7
,,主要地方道（都道府県道）,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),45.1,13198,882,14079,595,40,635,16987,1984,18971,766,89,856,1.35,10.2,6.3,0.74
,,,その他市街部,15.6,6822,972,7794,106,15,122,8752,1330,10082,137,21,157,1.29,11.9,12.5,0.81
,,,平地部,763.2,5949,752,6701,4541,574,5114,7544,1153,8697,5757,880,6637,1.3,11.4,11.2,0.76
,,,山地部,597.6,1437,158,1595,859,95,953,1754,233,1987,1048,139,1187,1.25,12.3,9.9,0.33
,,,合計,1421.5,4292,509,4801,6101,723,6824,5423,794,6217,7708,1129,8838,1.3,11.4,10.6,0.64
,,主要地方道（指定市道）,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,主要地方道計,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),45.1,13198,882,14079,595,40,635,16987,1984,18971,766,89,856,1.35,10.2,6.3,0.74
,,,その他市街部,15.6,6822,972,7794,106,15,122,8752,1330,10082,137,21,157,1.29,11.9,12.5,0.81
,,,平地部,763.2,5949,752,6701,4541,574,5114,7544,1153,8697,5757,880,6637,1.3,11.4,11.2,0.76
,,,山地部,597.6,1437,158,1595,859,95,953,1754,233,1987,1048,139,1187,1.25,12.3,9.9,0.33
,,,合計,1421.5,4292,509,4801,6101,723,6824,5423,794,6217,7708,1129,8838,1.3,11.4,10.6,0.64
,,一般都道府県道,DID(商業地域),2.7,8301,1934,10235,22,5,28,10598,3015,13613,29,8,37,1.33,9.1,18.9,1.21
,,,DID(商業地域を除く),29.1,8022,445,8468,233,13,246,10125,1104,11229,295,32,327,1.33,10.5,5.3,0.68
,,,その他市街部,21.8,5500,494,5993,120,11,131,6828,778,7606,149,17,166,1.27,11.1,8.2,0.79
,,,平地部,841.7,4509,507,5015,3795,426,4221,5618,751,6370,4729,632,5361,1.27,12.2,10.1,0.7
,,,山地部,761,1205,130,1335,917,99,1016,1491,204,1695,1135,155,1290,1.27,12.2,9.7,0.36
,,,合計,1656.3,3072,334,3406,5088,554,5642,3825,510,4335,6336,844,7181,1.27,12.1,9.8,0.6
,,地方道計,DID(商業地域),2.7,8301,1934,10235,22,5,28,10598,3015,13613,29,8,37,1.33,9.1,18.9,1.21
,,,DID(商業地域を除く),74.2,11168,710,11878,829,53,881,14296,1639,15935,1061,122,1182,1.34,10.3,6,0.72
,,,その他市街部,37.4,6051,693,6744,226,26,252,7631,1008,8639,285,38,323,1.28,11.5,10.3,0.8
,,,平地部,1604.9,5194,623,5817,8336,1000,9336,6534,942,7476,10486,1512,11999,1.29,11.7,10.7,0.73
,,,山地部,1358.6,1307,142,1450,1776,193,1969,1607,216,1823,2183,294,2477,1.26,12.2,9.8,0.35
,,,合計,3077.8,3635,415,4050,11189,1277,12466,4563,641,5204,14044,1974,16018,1.28,11.7,10.2,0.62
,,一般道路計,DID(商業地域),42.1,18319,2530,20849,771,107,878,24274,3677,27952,1022,155,1177,1.34,10.3,12.1,1.06
,,,DID(商業地域を除く),109.6,12952,1088,14040,1420,119,1539,16704,2013,18717,1831,221,2051,1.33,10.4,7.7,0.81
,,,その他市街部,115.6,10781,1648,12429,1246,191,1437,13803,2409,16212,1596,279,1874,1.3,11.2,13.3,0.91
,,,平地部,2108.8,5346,678,6024,11273,1430,12703,6725,1014,7739,14181,2139,16320,1.28,11.6,11.3,0.72
,,,山地部,2263,2021,348,2369,4573,788,5361,2485,500,2985,5624,1131,6755,1.26,11.7,14.7,0.46
,,,合計,4639.1,4156,568,4724,19282,2634,21917,5228,846,6074,24254,3924,28178,1.29,11.5,12,0.65
,,合計,DID(商業地域),42.1,18319,2530,20849,771,107,878,24274,3677,27952,1022,155,1177,1.34,10.3,12.1,1.06
,,,DID(商業地域を除く),109.6,12952,1088,14040,1420,119,1539,16704,2013,18717,1831,221,2051,1.33,10.4,7.7,0.81
,,,その他市街部,118.8,11168,1963,13131,1327,233,1560,14304,2979,17283,1699,354,2053,1.32,11.1,14.9,0.89
,,,平地部,2214.6,5693,967,6661,12608,2142,14750,7148,1610,8759,15831,3566,19397,1.32,11.4,14.5,0.66
,,,山地部,2387.7,2174,439,2614,5192,1049,6240,2668,676,3344,6370,1615,7985,1.28,11.5,16.8,0.43
,,,合計,4872.8,4375,749,5124,21318,3650,24967,5490,1213,6703,26753,5911,32663,1.31,11.3,14.6,0.61
,,指定市の一般市道,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,静岡県全域,高速自動車国道,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),14,14619,8544,23163,205,120,324,18038,14913,32951,253,209,461,1.42,9.3,36.9,0.44
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,105.3,13295,7988,21283,1400,841,2241,16591,16743,33334,1747,1763,3510,1.57,10.7,37.5,0.47
,,,山地部,250.2,13040,10254,23295,3263,2566,5828,16960,26640,43600,4243,6665,10909,1.87,10.7,44,0.69
,,,合計,369.5,13173,9544,22717,4867,3526,8394,16896,23375,40271,6243,8637,14880,1.77,10.6,42,0.6
,,一般国道の自動車専用道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),2.1,10262,1200,11462,22,3,24,12838,1554,14392,27,3,30,1.26,10.2,10.5,0.72
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,20.8,18260,2266,20527,380,47,427,23262,2930,26193,484,61,545,1.28,11.1,11,0.93
,,,山地部,19.2,2864,310,3174,55,6,61,3426,398,3824,66,8,73,1.2,10.5,9.8,0.45
,,,合計,42.1,10840,1321,12161,456,56,512,13696,1707,15403,577,72,648,1.27,11,10.9,0.82
,,高規格幹線道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),16.1,14051,7586,21637,226,122,348,17360,13171,30530,279,212,492,1.41,9.4,35.1,0.45
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,126.1,14114,7044,21159,1780,888,2668,17692,14465,32156,2231,1824,4055,1.52,10.8,33.3,0.51
,,,山地部,269.4,12315,9546,21861,3318,2572,5889,15995,24770,40765,4309,6673,10982,1.86,10.7,43.7,0.68
,,,合計,411.6,12934,8703,21637,5324,3582,8906,16568,21159,37727,6820,8709,15529,1.74,10.6,40.2,0.61
,,都市高速道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,高速道路計,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),16.1,14051,7586,21637,226,122,348,17360,13171,30530,279,212,492,1.41,9.4,35.1,0.45
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,126.1,14114,7044,21159,1780,888,2668,17692,14465,32156,2231,1824,4055,1.52,10.8,33.3,0.51
,,,山地部,269.4,12315,9546,21861,3318,2572,5889,15995,24770,40765,4309,6673,10982,1.86,10.7,43.7,0.68
,,,合計,411.6,12934,8703,21637,5324,3582,8906,16568,21159,37727,6820,8709,15529,1.74,10.6,40.2,0.61
,,高速道路計（一般国道の自動車専用道路を除く）,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),14,14619,8544,23163,205,120,324,18038,14913,32951,253,209,461,1.42,9.3,36.9,0.44
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,105.3,13295,7988,21283,1400,841,2241,16591,16743,33334,1747,1763,3510,1.57,10.7,37.5,0.47
,,,山地部,250.2,13040,10254,23295,3263,2566,5828,16960,26640,43600,4243,6665,10909,1.87,10.7,44,0.69
,,,合計,369.5,13173,9544,22717,4867,3526,8394,16896,23375,40271,6243,8637,14880,1.77,10.6,42,0.6
,,一般国道（直轄）,DID(商業地域),27.9,17545,2318,19864,490,65,554,22762,3450,26212,635,96,731,1.32,9.9,11.7,1.07
,,,DID(商業地域を除く),78.4,23569,5984,29553,1848,469,2317,31725,9676,41401,2487,759,3246,1.4,10.3,20.2,1.04
,,,その他市街部,45.7,19656,5033,24689,898,230,1128,26528,8024,34552,1212,367,1579,1.4,10.8,20.4,0.93
,,,平地部,126.4,17698,5450,23148,2237,689,2926,23858,8893,32751,3016,1124,4140,1.41,10.7,23.5,0.83
,,,山地部,78.2,8796,2384,11180,688,186,874,11577,3993,15570,905,312,1218,1.39,10.5,21.3,0.89
,,,合計,356.6,17276,4597,21872,6160,1639,7800,23151,7453,30605,8256,2658,10914,1.4,10.5,21,0.92
,,一般国道（その他）,DID(商業地域),43.7,12120,863,12983,530,38,567,15500,1674,17174,677,73,751,1.32,9.8,6.6,0.84
,,,DID(商業地域を除く),50.4,14115,1303,15418,711,66,777,18227,2434,20660,919,123,1041,1.34,10.7,8.5,1.16
,,,その他市街部,149.7,10069,965,11034,1507,144,1652,12833,1640,14473,1921,246,2167,1.31,10.9,8.7,0.94
,,,平地部,305.8,7961,1064,9026,2435,326,2760,10132,1553,11686,3098,475,3573,1.29,11.3,11.8,0.81
,,,山地部,325,2662,300,2962,865,97,963,3257,429,3686,1059,139,1198,1.24,11.5,10.1,0.48
,,,合計,874.6,6915,767,7682,6048,671,6719,8774,1207,9981,7674,1056,8730,1.3,11,10,0.79
,,一般国道計,DID(商業地域),71.6,14234,1430,15664,1019,102,1122,18330,2366,20696,1312,169,1482,1.32,9.8,9.1,0.94
,,,DID(商業地域を除く),128.8,19869,4152,24022,2559,535,3094,26443,6842,33285,3406,881,4287,1.39,10.4,17.3,1.07
,,,その他市街部,195.4,12311,1916,14227,2406,374,2780,16036,3133,19169,3133,612,3746,1.35,10.8,13.5,0.94
,,,平地部,432.2,10809,2347,13156,4672,1014,5686,14147,3700,17846,6114,1599,7713,1.36,11,17.8,0.82
,,,山地部,403.2,3852,704,4556,1553,284,1837,4871,1120,5991,1964,452,2416,1.32,11.1,15.4,0.62
,,,合計,1231.2,9916,1876,11792,12209,2310,14518,12938,3016,15955,15930,3714,19643,1.35,10.7,15.9,0.85
,,主要地方道（都道府県道）,DID(商業地域),38.7,9515,744,10259,368,29,397,12205,1341,13545,472,52,524,1.32,9.8,7.3,0.79
,,,DID(商業地域を除く),95.3,9172,561,9734,874,54,928,11478,991,12468,1094,94,1188,1.28,10.4,5.8,0.85
,,,その他市街部,110.4,7074,664,7738,781,73,854,8858,994,9852,978,110,1088,1.27,11.6,8.6,0.75
,,,平地部,482.3,5864,659,6523,2828,318,3146,7373,997,8370,3556,481,4037,1.28,11.7,10.1,0.72
,,,山地部,708.2,1693,154,1847,1199,109,1308,2054,226,2280,1455,160,1615,1.23,12.1,8.3,0.35
,,,合計,1434.9,4217,406,4623,6050,583,6633,5265,625,5890,7555,896,8451,1.27,11.5,8.8,0.61
,,主要地方道（指定市道）,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
